DOI	Organism	Tissue	Technique	Data location	itemLabel	normalized_doi	item
10.1016/J.CELREP.2017.12.046	Mouse	Brain	Smart-seq2	GSE107632	Variation in Activity State, Axonal Projection, and Position Define the Transcriptional Identity of Individual Neocortical Projection Neurons.	10.1016/J.CELREP.2017.12.046	Q47872282
10.1002/HEP.29778	Mouse		GemCode & SMARTer	GSE103591	Single cell analysis reveals cancer stem cell heterogeneity in hepatocellular carcinoma.	10.1002/HEP.29778	Q48282479
10.1038/S41593-017-0056-2	Mouse	Brain	Chromium & STRT-seq (C1)	GSE95753	Conserved properties of dentate gyrus neurogenesis across postnatal development revealed by single-cell RNA sequencing.	10.1038/S41593-017-0056-2	Q47863567
10.1186/S13059-017-1384-Y	Mouse	Skin	SMARTer (C1)	GSE99989	Epidermal Wnt signalling regulates transcriptome heterogeneity and proliferative fate in neighbouring cells.	10.1186/S13059-017-1384-Y	Q48241371
10.1126/SCIENCE.AAO4174	Mouse	Heart	Smart-seq2		Defining the earliest step of cardiovascular lineage segregation by single-cell RNA-seq.	10.1126/SCIENCE.AAO4174	Q48163564
10.1186/S13059-017-1385-X	Human		SMARTer	GSE108445	A Reproducibility-Based Computational Framework Identifies an Inducible, Enhanced Antiviral State in Dendritic Cells from HIV-1 Elite Controllers.	10.1186/S13059-017-1385-X	Q47548194
10.1016/J.CELREP.2017.12.072	Mouse	Heart	Chromium	E-MTAB-6173	Single-Cell Transcriptional Profiling Reveals Cellular Diversity and Intercommunication in the Mouse Heart.	10.1016/J.CELREP.2017.12.072	Q49963197
10.1016/J.NEURON.2018.01.023	Mouse		Chromium	GSE108788	Graded Arrays of Spinal and Supraspinal V2a Interneuron Subtypes Underlie Forelimb and Hindlimb Motor Control.	10.1016/J.NEURON.2018.01.023	Q49342255
10.1371/JOURNAL.PBIO.2003127	Mouse	Culture	SMARTer (C1)	E-MTAB-5466	Olig2 and Hes regulatory dynamics during motor neuron differentiation revealed by single cell transcriptomics.	10.1371/JOURNAL.PBIO.2003127	Q48123752
10.1038/S41590-018-0051-0	Human, Mouse		inDrops & Chromium & CEL-seq	GSE110547	Single-cell gene expression reveals a landscape of regulatory T cell phenotypes shaped by the TCR.	10.1038/S41590-018-0051-0	Q50055143
10.1016/J.CELREP.2018.01.043	Mouse	Testis	SMARTer (C1)	GSE97519	Deciphering Cell Lineage Specification during Male Sex Determination with Single-Cell RNA Sequencing.	10.1016/J.CELREP.2018.01.043	Q50051234
10.3389/FENDO.2018.00034	Mouse		Chromium		Regulatory Architecture of the LβT2 Gonadotrope Cell Underlying the Response to Gonadotropin-Releasing Hormone.	10.3389/FENDO.2018.00034	Q50421620
10.1038/SDATA.2018.13	Human	Culture	Chromium	E-MTAB-6108	Single cell RNA sequencing of stem cell-derived retinal ganglion cells.	10.1038/SDATA.2018.13	Q50045874
10.1038/NATURE25739	Mouse	Brain	Smart-seq2	GSE98816	A molecular atlas of cell types and zonation in the brain vasculature.	10.1038/NATURE25739	Q50001722
10.1016/J.CELS.2018.01.014	Human, Mouse		Drop-seq		Rare Cell Detection by Single-Cell RNA Sequencing as Guided by Single-Molecule RNA FISH.	10.1016/J.CELS.2018.01.014	Q49895254
10.1681/ASN.2017080890	Human	Brain	Chromium	GSE102596	Conserved and Divergent Features of Mesenchymal Progenitor Cell Types within the Cortical Nephrogenic Niche of the Human and Mouse Kidney.	10.1681/ASN.2017080890	Q49959878
10.7554/ELIFE.32303	Human		Chromium		Extreme heterogeneity of influenza virus infection in single cells.	10.7554/ELIFE.32303	Q49933555
10.1038/S41467-018-03149-4	Mouse	Culture	scNMT-seq	GSE109262	scNMT-seq enables joint profiling of chromatin accessibility DNA methylation and transcription in single cells.	10.1038/S41467-018-03149-4	Q50294205
10.1038/S41467-018-02892-Y	Human	Synovial tissue	Smart-seq2	GSE109450	Functionally distinct disease-associated fibroblast subsets in rheumatoid arthritis.	10.1038/S41467-018-02892-Y	Q51767593
10.1038/S41467-017-02659-X	Human	Synovial tissue	Minidrops	phs001529.v1.p1	Single-cell RNA-seq of rheumatoid arthritis synovial tissue using low-cost microfluidic instrumentation.	10.1038/S41467-017-02659-X	Q52687688
10.1101/267849	Human	Uterus	Chromium				
10.1016/J.CELREP.2018.02.003	Mouse	Lumbar spinal cord	Drop-seq	GSE103892	Massively Parallel Single Nucleus Transcriptional Profiling Defines Spinal Cord Neurons and Their Activity during Behavior.	10.1016/J.CELREP.2018.02.003	Q55257373
10.1016/J.YMTHE.2018.02.014	Mouse	Pancreas	Chromium	GSE109113	Long-Term Correction of Diabetes in Mice by In Vivo Reprogramming of Pancreatic Ducts.	10.1016/J.YMTHE.2018.02.014	Q52650846
10.1126/SCIENCE.AAR6821	Mouse	Brain	SMARTer (C1)	GSE109796	Early emergence of cortical interneuron diversity in the mouse embryo.	10.1126/SCIENCE.AAR6821	Q50422244
10.1016/J.CELL.2018.02.001	Mouse	Bladder, Bone marrow, Brain, Kidney, Liver, Lung, Stomach, Mammary gland, Gonad, Muscle, Calvaria, Heart, Rib, Skin, Ovary, Pancreas, Blood, Placenta, Prostate, Small intestine, Spleen, Testis, Uterus, Culture	Microwell-seq	GSE108097	Mapping the Mouse Cell Atlas by Microwell-Seq.	10.1016/J.CELL.2018.02.001	Q52374114
10.1016/J.AJHG.2018.02.001	Mouse	Brain	Smart-seq2	GSE108020	Single-Cell RNA-Seq of Mouse Dopaminergic Neurons Informs Candidate Gene Selection for Sporadic Parkinson Disease.	10.1016/J.AJHG.2018.02.001	Q52677022
10.1038/NATURE25999	Mouse	Brain	Chromium & Drop-seq & Smart-seq2	GSE104158	Developmental diversification of cortical inhibitory interneurons.	10.1038/NATURE25999	Q50420532
10.1186/S13059-018-1407-3	Mouse		Quartz-seq2	GSE99866	Quartz-Seq2: a high-throughput single-cell RNA-sequencing method that effectively uses limited sequence reads.	10.1186/S13059-018-1407-3	Q50420125
10.1038/NATURE25980	Human	Brain	Smart-seq2	GSE104276	A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex.	10.1038/NATURE25980	Q52655768
10.1186/S13059-018-1416-2	Mouse		STRT-seq		Single-cell RNA-seq analysis unveils a prevalent epithelial/mesenchymal hybrid state during mouse organogenesis.	10.1186/S13059-018-1416-2	Q52655649
10.1161/CIRCRESAHA.117.312509	Mouse	Aorta	GemCode	GSE97310	Single-Cell RNA-Seq Reveals the Transcriptional Landscape and Heterogeneity of Aortic Macrophages in Murine Atherosclerosis.	10.1161/CIRCRESAHA.117.312509	Q52653301
10.1126/SCIENCE.AAM8999	Mouse	Brain, Spinal cord	SPLiT-seq	GSE110823	Single-cell profiling of the developing mouse brain and spinal cord with split-pool barcoding.	10.1126/SCIENCE.AAM8999	Q52353816
10.7554/ELIFE.29312	Mouse	Blood, Vasculature	SMARTer (C1) & ICELL8	GSE96986	Single-cell transcriptomics reveals a new dynamical function of transcription factors during embryonic hematopoiesis.	10.7554/ELIFE.29312	Q52350169
10.1016/J.CUB.2018.02.040	Zebrafish	Brain	Chromium & Smart-seq2	GSE105115	Comprehensive Identification and Spatial Mapping of Habenular Neuronal Types Using Single-Cell RNA-Seq.	10.1016/J.CUB.2018.02.040	Q52342594
10.1016/J.YDBIO.2018.03.020	Mouse	Kidney	Drop-seq	GSE109404	Reduced Abd-B Hox function during kidney development results in lineage infidelity.	10.1016/J.YDBIO.2018.03.020	Q52723218
10.7554/ELIFE.33105	Plasmodium	Whole organism	Smart-seq2		Single-cell RNA-seq reveals hidden transcriptional variation in malaria parasites	10.7554/ELIFE.33105	Q53218289
10.1038/NATURE25969	Zebrafish	Brain	scScarTrace	GSE102990	Whole-organism clone tracing using single-cell sequencing.	10.1038/NATURE25969	Q52431092
10.1182/BLOOD-2017-12-821413	Mouse	Bone marrow	Chromium & Smart-seq2	GSE107727	A single-cell hematopoietic landscape resolves 8 lineage trajectories and defects in Kit mutant mice	10.1182/BLOOD-2017-12-821413	Q88194392
10.1038/NBT.4103	Zebrafish	Brain	InDrops	GSE105010	Simultaneous single-cell profiling of lineages and cell types in the vertebrate brain.	10.1038/NBT.4103	Q52431227
10.1016/J.STEMCR.2018.03.001	Human	Tumor	SMARTer (C1)		Heterogeneity of Human Breast Stem and Progenitor Cells as Revealed by Transcriptional Profiling.	10.1016/J.STEMCR.2018.03.001	Q55229889
10.1038/S41588-018-0089-9	Human	Blood	Chromium		Single-cell RNA sequencing identifies celltype-specific cis-eQTLs and co-expression QTLs.	10.1038/S41588-018-0089-9	Q52611747
10.1016/J.ISCI.2018.08.009	Mouse		Rainbow-seq		Rainbow-Seq: Combining Cell Lineage Tracing with Single-Cell RNA Sequencing in Preimplantation Embryos	10.1016/J.ISCI.2018.08.009	Q58772659
10.1523/JNEUROSCI.17-10-03894.1997	Mouse	Brain	sc-RT-mPCR		Molecular and physiological diversity of cortical nonpyramidal cells.	10.1523/JNEUROSCI.17-10-03894.1997	Q48706769
10.1038/S41467-018-03538-9	Mouse	Brain	Smart-seq2	GSE107656	A comprehensive map coupling histone modifications with gene regulation in adult dopaminergic and serotonergic neurons.	10.1038/S41467-018-03538-9	Q51415870
10.1093/BIOINFORMATICS/BTY203	Human		Smart-seq2	E-MTAB-6386	B-cell receptor reconstruction from single-cell RNA-seq with VDJPuzzle.	10.1093/BIOINFORMATICS/BTY203	Q54235215
10.1126/SCIENCE.AAR2131	Mouse	Kidney	Chromium	GSE107585	Single-cell transcriptomics of the mouse kidney reveals potential cellular targets of kidney disease.	10.1126/SCIENCE.AAR2131	Q52603808
10.1038/NBT.4124	Zebrafish	Whole organism	LINNAEUS	GSE106121	Simultaneous lineage tracing and cell-type identification using CRISPR-Cas9-induced genetic scars.	10.1038/NBT.4124	Q52431495
10.1016/J.STEM.2018.03.018	Mouse	Lung	Chromium	GSE111598	Myoepithelial Cells of Submucosal Glands Can Function as Reserve Stem Cells to Regenerate Airways after Injury.	10.1016/J.STEM.2018.03.018	Q52587517
10.1038/S41551-018-0219-9	Human	Culture		SCP199	Effects of 3D culturing conditions on the transcriptomic profile of stem-cell-derived neurons	10.1038/S41551-018-0219-9	Q57142500
10.1523/JNEUROSCI.23-09-03607.2003	Rat	Brain	aRNA amplification		Single-cell microarray analysis in hippocampus CA1: demonstration and validation of cellular heterogeneity.	10.1523/JNEUROSCI.23-09-03607.2003	Q30775209
10.1101/303263	Mouse	Pancreas	SMARTer (C1)				
10.1126/SCIENCE.AAQ1723	Schmidtea mediterranea		Drop-seq		Cell type atlas and lineage tree of a whole complex animal by single-cell transcriptomics.	10.1126/SCIENCE.AAQ1723	Q52315063
10.1126/SCIENCE.AAQ1736	Planarian	Whole organism	Drop-seq	GSE111764	Cell type transcriptome atlas for the planarian Schmidtea mediterranea.	10.1126/SCIENCE.AAQ1736	Q52576606
10.1038/S41593-018-0141-1	Mouse		STRT-seq (C1)		Neuronal atlas of the dorsal horn defines its architecture and links sensory input to transcriptional cell types.	10.1038/S41593-018-0141-1	Q52311971
10.1016/J.CELL.2018.03.074	Human		Chromium		Integrated Single-Cell Analysis Maps the Continuous Regulatory Landscape of Human Hematopoietic Differentiation.	10.1016/J.CELL.2018.03.074	Q52715871
10.1016/J.MOLCEL.2018.03.030	Human	Umbilical vein	Chromium	GSE102090	HMGB2 Loss upon Senescence Entry Disrupts Genomic Organization and Induces CTCF Clustering across Cell Types.	10.1016/J.MOLCEL.2018.03.030	Q52692063
10.1126/SCIENCE.AAR4362	Zebrafish	Embryo	InDrops	GSE112294	Single-cell mapping of gene expression landscapes and lineage in the zebrafish embryo	10.1126/SCIENCE.AAR4362	Q60468470
10.1126/SCIENCE.AAR5780	Frog	Whole organism	InDrops		The dynamics of gene expression in vertebrate embryogenesis at single-cell resolution.	10.1126/SCIENCE.AAR5780	Q52560248
10.1126/SCIENCE.AAR3131	Zebrafish	Embryo	Drop-seq & SMART-seq	GSE106587	Single-cell reconstruction of developmental trajectories during zebrafish embryogenesis	10.1126/SCIENCE.AAR3131	Q60468467
10.1126/SCIENCE.AAR4237	Lizard, Turtle	Brain	Drop-seq	PRJNA408230	Evolution of pallium, hippocampus, and cortical cell types revealed by single-cell transcriptomics in reptiles	10.1126/SCIENCE.AAR4237	Q88561926
10.1016/J.CELL.2018.03.063	Mouse	Brain	Chromium	GSE100320	Single-Cell Transcriptomics and Fate Mapping of Ependymal Cells Reveals an Absence of Neural Stem Cell Function	10.1016/J.CELL.2018.03.063	Q88571206
10.1084/JEM.20172310	Mouse		Chromium	GSE102665	Peripheral PDGFRα+gp38+ mesenchymal cells support the differentiation of fetal liver-derived ILC2	10.1084/JEM.20172310	Q88573685
10.1126/SCIENCE.AAO4750	Human	Brain	Smart-seq2	GSE102130	Developmental and oncogenic programs in H3K27M gliomas dissected by single-cell RNA-seq.	10.1126/SCIENCE.AAO4750	Q52718178
10.1016/J.IMMUNI.2018.04.006	Mouse	Lymph node	Chromium	GSE112903	Single-Cell RNA Sequencing of Lymph Node Stromal Cells Reveals Niche-Associated Heterogeneity	10.1016/J.IMMUNI.2018.04.006	Q88644728
10.1016/J.CMET.2018.04.013	Mouse		CEL-seq2	GSE110648	The Polycomb-Dependent Epigenome Controls β Cell Dysfunction, Dedifferentiation, and Diabetes.	10.1016/J.CMET.2018.04.013	Q55024071
10.1101/GR.223925.117	Human	Culture	Chromium	E-MTAB-6687	Single-cell RNA-seq of human induced pluripotent stem cells reveals cellular heterogeneity and cell state transitions between subpopulations	10.1101/GR.223925.117	Q88645537
10.1038/S41592-018-0009-Z	Mouse	Bone marrow, Small intestine	CEL-seq	GSE89379	Mapping the physical network of cellular interactions	10.1038/S41592-018-0009-Z	Q88768159
10.1016/J.CELREP.2018.04.066	Human	Culture	BioMark	GSE112732	Combining NGN2 Programming with Developmental Patterning Generates Human Excitatory Neurons with NMDAR-Mediated Synaptic Transmission.	10.1016/J.CELREP.2018.04.066	Q55213489
10.1038/S41591-018-0036-4	Human		Chromium	E-MTAB-6505	Monocyte-derived IL-1 and IL-6 are differentially required for cytokine-release syndrome and neurotoxicity due to CAR T cells	10.1038/S41591-018-0036-4	Q88885438
10.1186/S13059-018-1438-9	Human		Chromium	GSE113660	UMI-count modeling and differential expression analysis for single-cell RNA sequencing.	10.1186/S13059-018-1438-9	Q55317542
10.1016/J.CELL.2018.05.019	Nematostella vectensis	Whole organism	MARS-seq	GSE95723	Cnidarian Cell Type Diversity and Regulation Revealed by Whole-Organism Single-Cell RNA-Seq	10.1016/J.CELL.2018.05.019	Q58840753
10.1038/S41422-018-0053-3	Human	Brain	STRT-seq	GSE103723	Spatial transcriptomic survey of human embryonic cerebral cortex by single-cell RNA-seq analysis.	10.1038/S41422-018-0053-3	Q55423165
10.1186/S12915-018-0527-2	Mouse	Organoid	Seq-Well	GSE100274	Harnessing single-cell genomics to improve the physiological fidelity of organoid-derived cell types.	10.1186/S12915-018-0527-2	Q55339383
10.1016/J.IMMUNI.2018.04.015	Mouse	Thymus	Drop-seq	GSE107910	A Single-Cell Transcriptomic Atlas of Thymus Organogenesis Resolves Cell Types and Developmental Maturation	10.1016/J.IMMUNI.2018.04.015	Q89046279
10.1101/GR.228080.117	Human		Chromium & SMARTer (C1)	GSE110499	Linking transcriptional and genetic tumor heterogeneity through allele analysis of single-cell RNA-seq data	10.1101/GR.228080.117	Q89093055
10.1084/JEM.20171384	Mouse		Chromium	GSE114793	Dissection of progenitor compartments resolves developmental trajectories in B-lymphopoiesis.	10.1084/JEM.20171384	Q64977188
10.1038/S41586-018-0226-8	Mouse	Skin	Chromium & SMARTer (C1)	E-MTAB-6677	A stromal cell population that inhibits adipogenesis in mammalian fat depots	10.1038/S41586-018-0226-8	Q55407585
10.1371/JOURNAL.PBIO.2006387	Mouse		Chromium		Classes and continua of hippocampal CA1 inhibitory neurons revealed by single-cell transcriptomics	10.1371/JOURNAL.PBIO.2006387	Q57381497
10.1016/J.CELL.2018.05.021	Drosophila	Brain	Drop-seq	GSE103771	Phenotypic Convergence: Distinct Transcription Factors Regulate Common Terminal Features	10.1016/J.CELL.2018.05.021	Q89128831
10.1016/J.CELL.2018.05.057	Drosophila	Brain	Chromium & Drop-seq & Smart-seq2 & CEL-seq2	GSE107451	A Single-Cell Transcriptome Atlas of the Aging Drosophila Brain	10.1016/J.CELL.2018.05.057	Q57188247
10.1186/S13059-018-1449-6	Human, Mouse	Culture	InDrops		dropEst: pipeline for accurate estimation of molecular counts in droplet-based single-cell RNA-seq experiments.	10.1186/S13059-018-1449-6	Q55287107
10.1016/J.STEM.2018.05.025	Mouse	Culture	Chromium	GSE114952	Single-Cell RNA-Seq Reveals Dynamic Early Embryonic-like Programs during Chemical Reprogramming	10.1016/J.STEM.2018.05.025	Q89222278
10.1126/SCIENCE.AAT5691	Mouse	Brain	STARmap		Three-dimensional intact-tissue sequencing of single-cell transcriptional states	10.1126/SCIENCE.AAT5691	Q59753943
10.2337/DB18-0365	Human	Pancreas	Chromium	GSE114297	Pseudotime Ordering of Single Human β-Cells Reveals States of Insulin Production and Unfolded Protein Response	10.2337/DB18-0365	Q89294487
10.1016/J.CELL.2018.05.060	Human	Tumor	Chromium	GSE114727	Single-Cell Map of Diverse Immune Phenotypes in the Breast Tumor Microenvironment	10.1016/J.CELL.2018.05.060	Q89367617
10.1101/358622	Human	Organoid	Chromium	GSE113089			
10.1016/J.JID.2018.06.169	Mouse		Chromium	E-MTAB-6429	Detection of HPV E7 Transcription at Single-Cell Resolution in Epidermis	10.1016/J.JID.2018.06.169	Q89379581
10.1681/ASN.2018020125	Human	Kidney	InDrops	GSE114156	Single-Cell Transcriptomics of a Human Kidney Allograft Biopsy Specimen Defines a Diverse Inflammatory Response	10.1681/ASN.2018020125	Q89449672
10.1161/CIRCRESAHA.118.312913	Human	Culture	Chromium	GSE116555	Large-Scale Single-Cell RNA-Seq Reveals Molecular Signatures of Heterogeneous Populations of Human Induced Pluripotent Stem Cell-Derived Endothelial Cells	10.1161/CIRCRESAHA.118.312913	Q89480082
10.1038/S41467-018-04827-Z	Mouse	Testis	Chromium	GSE107256	Identification of dynamic undifferentiated cell states within the male germline	10.1038/S41467-018-04827-Z	Q61135997
10.1038/S41590-018-0160-9	Mouse	Culture	Smart-seq2	E-MTAB-6051	T cell cytolytic capacity is independent of initial stimulation strength	10.1038/S41590-018-0160-9	Q57235281
10.1038/S41586-018-0346-1	Mouse	Thymus	MARS-seq	GSE103970	Single-cell mapping of the thymic stroma identifies IL-25-producing tuft epithelial cells	10.1038/S41586-018-0346-1	Q59066334
10.1038/S41556-018-0143-Y	Mouse		SORT-seq	GSE114988	Enteroendocrine cells switch hormone expression along the crypt-to-villus BMP signalling gradient	10.1038/S41556-018-0143-Y	Q90427601
10.1136/ANNRHEUMDIS-2017-212863	Human	Knee	STRT-seq	GSE104782	Single-cell RNA-seq analysis reveals the progression of human osteoarthritis	10.1136/ANNRHEUMDIS-2017-212863	Q90348985
10.1038/S41422-018-0066-Y	Human	Placenta	STRT-seq	GSE89497	Single-cell RNA-seq reveals the diversity of trophoblast subtypes and patterns of differentiation in the human placenta	10.1038/S41422-018-0066-Y	Q63407324
10.1186/S13073-018-0567-9	Human	Brain	SCRB-seq (microwell)	GSE103224	Single-cell transcriptome analysis of lineage diversity in high-grade glioma.	10.1186/S13073-018-0567-9	Q64903280
10.1101/377606	Human	Brain	Chromium & SMARTer (C1)	EGAS00001002185			
10.1038/S41422-018-0074-Y	Mouse			GSE107644	Single-cell RNA-seq uncovers dynamic processes and critical regulators in mouse spermatogenesis	10.1038/S41422-018-0074-Y	Q57162910
10.1038/S41586-018-0393-7	Mouse	Trachea	Chromium & Smart-seq2	GSE103354	A revised airway epithelial hierarchy includes CFTR-expressing ionocytes	10.1038/S41586-018-0393-7	Q57318688
10.1038/S41586-018-0394-6	Human, Mouse	Trachea	InDrops	GSE102580	A single-cell atlas of the airway epithelium reveals the CFTR-rich pulmonary ionocyte	10.1038/S41586-018-0394-6	Q57318689
10.1371/JOURNAL.PGEN.1007552	Mouse	Ear	Chromium	GSE85983	High-resolution transcriptional dissection of in vivo Atoh1-mediated hair cell conversion in mature cochleae identifies Isl1 as a co-reprogramming factor.	10.1371/JOURNAL.PGEN.1007552	Q67471784
10.1038/S41586-018-0385-7	Sea Squirt	Whole organism	Chromium	GSE115331	Shared evolutionary origin of vertebrate neural crest and cranial placodes	10.1038/S41586-018-0385-7	Q59090070
10.1016/J.CELL.2018.07.007	Mouse	Ear	Smart-seq2	GSE114997	Sensory Neuron Diversity in the Inner Ear Is Shaped by Activity	10.1016/J.CELL.2018.07.007	Q90761585
10.1016/J.CELL.2018.07.008	Mouse	Ear	Chromium	GSE114759	Hair Cell Mechanotransduction Regulates Spontaneous Activity and Spiral Ganglion Subtype Specification in the Auditory System	10.1016/J.CELL.2018.07.008	Q90761592
10.1016/J.CELREP.2018.07.025	Mouse	Breast	Chromium & SMARTer (C1)	GSE111113	Single-Cell Transcriptomes Distinguish Stem Cell State Changes and Lineage Specification Programs in Early Mammary Gland Development	10.1016/J.CELREP.2018.07.025	Q90837052
10.1038/S41586-018-0414-6	Human		Chromium		RNA velocity of single cells	10.1038/S41586-018-0414-6	Q57173237
10.1038/S41586-018-0409-3	Human	Culture	Chromium		Genetic and transcriptional evolution alters cancer cell line drug response	10.1038/S41586-018-0409-3	Q56550183
10.1016/J.CELL.2018.06.021	Mouse	Brain	Chromium	SRP135960	Molecular Architecture of the Mouse Nervous System	10.1016/J.CELL.2018.06.021	Q58793343
10.1016/J.CELL.2018.07.028	Mouse	Brain	Drop-seq	GSE116470	Molecular Diversity and Specializations among the Cells of the Adult Mouse Brain	10.1016/J.CELL.2018.07.028	Q90872162
10.1016/J.CELREP.2018.07.033	Human	Blood, Culture	Chromium & Smart-seq2	GSE115405	Large-Scale Human Dendritic Cell Differentiation Revealing Notch-Dependent Lineage Bifurcation and Heterogeneity	10.1016/J.CELREP.2018.07.033	Q58780459
10.1038/S41586-018-0449-8	Human	Airways	Seq-Well	SCP253	Allergic inflammatory memory in human respiratory epithelial progenitor cells	10.1038/S41586-018-0449-8	Q59050242
10.1172/JCI.INSIGHT.122211	Mouse	Lung	Chromium	GSE115982	CCR10+ epithelial cells from idiopathic pulmonary fibrosis lungs drive remodeling	10.1172/JCI.INSIGHT.122211	Q58710919
10.1038/S41467-018-06052-0	Human	Breast	Smart-seq2	GSE118390	Unravelling subclonal heterogeneity and aggressive disease states in TNBC through single-cell RNA-seq	10.1038/S41467-018-06052-0	Q58765307
10.1016/J.CELL.2018.07.048	Mouse	Small intestine	Chromium	E-MTAB-6976	Self-Maintaining Gut Macrophages Are Essential for Intestinal Homeostasis	10.1016/J.CELL.2018.07.048	Q63409655
10.1126/SCIENCE.AAU0730	Mouse	Kidney	sci-CAR	GSE117089	Joint profiling of chromatin accessibility and gene expression in thousands of single cells.	10.1126/SCIENCE.AAU0730	Q59770869
10.7554/ELIFE.36865	Mouse	Lung	Chromium	GSE118555	marks a cellular lineage with distinct contributions to myofibroblasts in lung maturation and injury response	10.7554/ELIFE.36865	Q56529283
10.1073/PNAS.1807516115	Mouse		SMARTer		Distinct antiviral signatures revealed by the magnitude and round of influenza virus replication in vivo	10.1073/PNAS.1807516115	Q59353299
10.1186/S40478-018-0584-3	Mouse	Brain	mCEL-seq2	GSE90975	Unique microglia recovery population revealed by single-cell RNAseq following neurodegeneration	10.1186/S40478-018-0584-3	Q58763814
10.1016/J.CELS.2018.07.006	Human		SMARTer (C1)		Aligning Single-Cell Developmental and Reprogramming Trajectories Identifies Molecular Determinants of Myogenic Reprogramming Outcome	10.1016/J.CELS.2018.07.006	Q91340098
10.1038/S41467-018-06033-3	Mouse	Ear	Smart-seq2	GSE117055 	Neuronal heterogeneity and stereotyped connectivity in the auditory afferent system	10.1038/S41467-018-06033-3	Q57816640
10.15252/EMBR.201846171	Mouse	Brain	Drop-seq	GSE115571	Single-cell transcriptomics reveals distinct inflammation-induced microglia signatures	10.15252/EMBR.201846171	Q58748908
10.1093/NAR/GKY856	Human		Chromium		Targeting individual cells by barcode in pooled sequence libraries	10.1093/NAR/GKY856	Q91765557
10.1016/J.CUB.2018.07.062	Mouse	Brain	Chromium	PRJEB23051	A Single-Cell Transcriptional Atlas of the Developing Murine Cerebellum	10.1016/J.CUB.2018.07.062	Q57151364
10.1016/J.DEVCEL.2018.08.010	Mouse	Skin	Chromium	GSE102086	Single Cell and Open Chromatin Analysis Reveals Molecular Origin of Epidermal Cells of the Skin	10.1016/J.DEVCEL.2018.08.010	Q57294154
10.1182/BLOODADVANCES.2018020560	Human	Culture	SMARTer (C1)		Induced pluripotent stem cell-based mapping of β-globin expression throughout human erythropoietic development	10.1182/BLOODADVANCES.2018020560	Q58782286
10.1093/GIGASCIENCE/GIY117	Human	Culture	MIRALCS	http://dx.doi.org/10.5524/100496	Single-cell RNA-seq reveals dynamic transcriptome profiling in human early neural differentiation	10.1093/GIGASCIENCE/GIY117	Q91618808
10.1101/GAD.317669.118	Ciona intestinalis	Whole organism	Chromium	GSE120035	Regulatory cocktail for dopaminergic neurons in a protovertebrate identified by whole-embryo single-cell transcriptomics	10.1101/GAD.317669.118	Q91517880
10.1038/S41467-018-06222-0	Mouse	Brain	Drop-seq	GSE101901	Single cell molecular alterations reveal target cells and pathways of concussive brain injury	10.1038/S41467-018-06222-0	Q58698620
10.1038/S41467-018-06423-7	Mouse		Chromium		Neonatally imprinted stromal cell subsets induce tolerogenic dendritic cells in mesenteric lymph nodes	10.1038/S41467-018-06423-7	Q58698810
10.1186/S40880-018-0326-8	Human	Culture	Discover-sc WTA		Transcriptomic but not genomic variability confers phenotype of breast cancer stem cells	10.1186/S40880-018-0326-8	Q58719182
10.1172/JCI.INSIGHT.121718	Human	Blood, Cerebrospinal fluid	Seq-Well		Single-cell RNA sequencing reveals microglia-like cells in cerebrospinal fluid during virologically suppressed HIV	10.1172/JCI.INSIGHT.121718	Q59134956
10.1038/S41467-018-06176-3	Mouse	Pancreas	Chromium	GSE101099	Lineage dynamics of murine pancreatic development at single-cell resolution	10.1038/S41467-018-06176-3	Q58698611
10.1101/GAD.316802.118	Mouse	Heart	sNucDrop-seq	GSE118545	Single-nucleus transcriptomic survey of cell diversity and functional maturation in postnatal mammalian hearts	10.1101/GAD.316802.118	Q91735490
10.1016/J.CELREP.2018.08.080	Mouse	Brain	Drop-seq	GSE118918	Single-Cell RNA-Seq Uncovers a Robust Transcriptional Response to Morphine by Glia	10.1016/J.CELREP.2018.08.080	Q91770439
10.15252/EMBJ.201899518	Mouse		SMARTer (C1)		Metabolic regulation of pluripotency and germ cell fate through α‐ketoglutarate	10.15252/EMBJ.201899518	Q57409028
10.1016/J.CELL.2018.08.067	Human, Mouse	Colon	Chromium & SMARTer (C1)	GSE114374	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	10.1016/J.CELL.2018.08.067	Q57025321
10.1126/SCIENCE.AAQ0681	Axolotl		Chromium & SMARTer (C1) & Smart-seq2		Single-cell analysis uncovers convergence of cell identities during axolotl limb regeneration	10.1126/SCIENCE.AAQ0681	Q60341043
10.3389/FIMMU.2018.02191	Human	Skin	Smart-seq2		Single Cell RNA Sequencing Identifies HSPG2 and APLNR as Markers of Endothelial Cell Injury in Systemic Sclerosis Skin	10.3389/FIMMU.2018.02191	Q57486499
10.1101/431957	Mouse	Brain	pciSeq				
10.1038/S41586-018-0590-4	Mouse		Smart-seq2 & Chromium	SRP131661	Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris	10.1038/S41586-018-0590-4	Q57039955
10.1084/JEM.20180136	Mouse		Smart-seq2		Kinetics of adult hematopoietic stem cell differentiation in vivo	10.1084/JEM.20180136	Q57022205
